streamid,Year,SPECIES_QUALIFIED,cu_name_pse,cuid,stream_name_pse,PSE_source,TTC_Species,TTC_STOCK_MATCH,TTC_RECORD_MATCH,TTC_METHOD,TTC_QUALITY,POP_ID,IS_INDICATOR,latitude,longitude,Spn_TTC,Spn_Combined
10128,1985,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1986,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1987,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1988,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1989,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1990,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1991,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1992,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1993,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1994,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1995,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1996,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1997,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1998,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,6833,6833
10128,1999,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,14615,14615
10128,2000,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,7905,7905
10128,2001,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,6705,6705
10128,2002,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,5569,5569
10128,2003,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,5904,5904
10128,2004,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,7083,7083
10128,2005,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,2006,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,2007,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,2008,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,2009,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,2010,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,2011,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,2012,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,2013,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,2014,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,2015,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,2016,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,2017,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
