CU_NAME,Species_CU_INDEX,DESCR,GEOGRAPHICAL_EXTNT_OF_ESTIMATE,SPECIES,Year,INDEX_YN,ESTIMATE_STAGE,ESTIMATE_CLASSIFICATION,NO_INSPECTIONS_USED,ESTIMATE_METHOD,POP_ID,MAX_ESTIMATE,NATURAL_ADULT_SPAWNERS,NATURAL_JACK_SPAWNERS,NATURAL_SPAWNERS_TOTAL,ADULT_BROODSTOCK_REMOVALS,JACK_BROODSTOCK_REMOVALS,TOTAL_BROODSTOCK_REMOVALS,OTHER_REMOVALS,TOTAL_RETURN_TO_RIVER,UNSPECIFIED_RETURNS,ENUMERATION_METHOD1,ENUMERATION_METHOD2,ENUMERATION_METHOD3,ENUMERATION_METHOD4,ENUMERATION_METHOD5,ENUMERATION_METHOD6,EstQual
LOWER STIKINE,CO-39,Craig River (Stikine) Coho 2015,CRAIG RIVER,Coho,2015,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45138,608,NA,NA,608,NA,NA,NA,NA,608,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Craig River (Stikine) Coho 2016,CRAIG RIVER,Coho,2016,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45138,10,NA,NA,10,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Craig River (Stikine) Coho 2021,CRAIG RIVER,Coho,2021,Y,PRELIMINARY,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45138,1475,1475,NA,NA,NA,NA,NA,NA,1475,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Craig River (Stikine) Coho 2006,CRAIG RIVER,Coho,2006,Y,NEAR FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45138,675,NA,NA,675,NA,NA,NA,NA,675,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Craig River (Stikine) Coho 2007,CRAIG RIVER,Coho,2007,Y,PRELIMINARY,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45138,567,NA,NA,567,NA,NA,NA,NA,567,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Katete River (Stikine) Coho 2021,KATETE RIVER,Coho,2021,Y,PRELIMINARY,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45488,466,466,NA,NA,NA,NA,NA,NA,466,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,West Katete River (Stikine) Coho 1984,KATETE RIVER,Coho,1984,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,44651,147,NA,NA,NA,NA,NA,NA,NA,NA,147,NA,NA,NA,NA,NA,NA,UNK
LOWER STIKINE,CO-39,West Katete River (Stikine) Coho 1998,KATETE RIVER,Coho,1998,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,44651,14,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,UNK
LOWER STIKINE,CO-39,Katete River (Stikine) Coho 2017,KATETE RIVER,Coho,2017,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45488,784,NA,NA,784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Katete River (Stikine) Coho 2018,KATETE RIVER,Coho,2018,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45488,648,NA,NA,648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Katete River (Stikine) Coho 2019,KATETE RIVER,Coho,2019,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45488,51,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Katete River (Stikine) Coho 2002,KATETE RIVER,Coho,2002,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45488,3448,NA,NA,3448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Katete River (Stikine) Coho 2004,KATETE RIVER,Coho,2004,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45488,840,NA,NA,840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Katete River (Stikine) Coho 2005,KATETE RIVER,Coho,2005,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45488,1495,1495,NA,1495,NA,NA,NA,NA,1495,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Katete River (Stikine) Coho 2006,KATETE RIVER,Coho,2006,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45488,893,NA,NA,893,NA,NA,NA,NA,893,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Katete River (Stikine) Coho 2007,KATETE RIVER,Coho,2007,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45488,256,NA,NA,256,NA,NA,NA,NA,256,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Katete River (Stikine) Coho 2009,KATETE RIVER,Coho,2009,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45488,910,NA,NA,910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Katete River (Stikine) Coho 2010,KATETE RIVER,Coho,2010,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45488,274,NA,NA,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Katete River (Stikine) Coho 2011,KATETE RIVER,Coho,2011,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45488,870,NA,NA,870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Katete River (Stikine) Coho 2013,KATETE RIVER,Coho,2013,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45488,640,NA,NA,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Katete River (Stikine) Coho 2014,KATETE RIVER,Coho,2014,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45488,262,NA,NA,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
LOWER STIKINE,CO-39,Katete River (Stikine) Coho 2015,KATETE RIVER,Coho,2015,Y,FINAL,RELATIVE ABUNDANCE (TYPE-4),NA,Peak Live + Dead,45488,183,NA,NA,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M
