SPECIES,Stock,Series,Year,Value,TableSource,Method
Chinook,Taku River,Dudidontu Aerial Index,2016,156,D.8,
Chinook,Taku River,Dudidontu Aerial Index,2017,37,D.8,
Chinook,Taku River,Dudidontu Aerial Index,2018,363,D.8,
Chinook,Taku River,Dudidontu Aerial Index,2019,949,D.8,
Chinook,Taku River,Dudidontu Aerial Index,2020,292,D.8,
Chinook,Taku River,Dudidontu Aerial Index,2021,147,D.8,
Chinook,Taku River,Dudidontu Aerial Index,2022,192,D.8,
Chinook,Taku River,Dudidontu Aerial Index,2023,403,D.8,
Chinook,Taku River,Tseta Aerial Index,1975,NA,D.8,
Chinook,Taku River,Tseta Aerial Index,1976,NA,D.8,
Chinook,Taku River,Tseta Aerial Index,1977,NA,D.8,
Chinook,Taku River,Tseta Aerial Index,1978,21,D.8,
Chinook,Taku River,Tseta Aerial Index,1979,NA,D.8,
Chinook,Taku River,Tseta Aerial Index,1980,NA,D.8,
Chinook,Taku River,Tseta Aerial Index,1981,258,D.8,
Chinook,Taku River,Tseta Aerial Index,1982,228,D.8,
Chinook,Taku River,Tseta Aerial Index,1983,179,D.8,
Chinook,Taku River,Tseta Aerial Index,1984,176,D.8,
Chinook,Taku River,Tseta Aerial Index,1985,303,D.8,
Chinook,Taku River,Tseta Aerial Index,1986,193,D.8,
Chinook,Taku River,Tseta Aerial Index,1987,180,D.8,
Chinook,Taku River,Tseta Aerial Index,1988,66,D.8,
Chinook,Taku River,Tseta Aerial Index,1989,494,D.8,
Chinook,Taku River,Tseta Aerial Index,1990,172,D.8,
Chinook,Taku River,Tseta Aerial Index,1991,224,D.8,
Chinook,Taku River,Tseta Aerial Index,1992,313,D.8,
Chinook,Taku River,Tseta Aerial Index,1993,491,D.8,
Chinook,Taku River,Tseta Aerial Index,1994,614,D.8,
Chinook,Taku River,Tseta Aerial Index,1995,786,D.8,
Chinook,Taku River,Tseta Aerial Index,1996,1201,D.8,
Chinook,Taku River,Tseta Aerial Index,1997,648,D.8,
Chinook,Taku River,Tseta Aerial Index,1998,360,D.8,
Chinook,Taku River,Tseta Aerial Index,1999,221,D.8,
Chinook,Taku River,Tseta Aerial Index,2000,160,D.8,
Chinook,Taku River,Tseta Aerial Index,2001,202,D.8,
Chinook,Taku River,Tseta Aerial Index,2002,192,D.8,
Chinook,Taku River,Tseta Aerial Index,2003,436,D.8,
Chinook,Taku River,Tseta Aerial Index,2004,906,D.8,
Chinook,Taku River,Tseta Aerial Index,2005,215,D.8,
Chinook,Taku River,Tseta Aerial Index,2006,199,D.8,
Chinook,Taku River,Tseta Aerial Index,2007,199,D.8,
Chinook,Taku River,Tseta Aerial Index,2008,497,D.8,
Chinook,Taku River,Tseta Aerial Index,2009,145,D.8,
Chinook,Taku River,Tseta Aerial Index,2010,128,D.8,
Chinook,Taku River,Tseta Aerial Index,2011,128,D.8,
Chinook,Taku River,Tseta Aerial Index,2012,NA,D.8,
Chinook,Taku River,Tseta Aerial Index,2013,NA,D.8,
Chinook,Taku River,Tseta Aerial Index,2014,NA,D.8,
Chinook,Taku River,Tseta Aerial Index,2015,NA,D.8,
Chinook,Taku River,Tseta Aerial Index,2016,NA,D.8,
Chinook,Taku River,Tseta Aerial Index,2017,NA,D.8,
Chinook,Taku River,Tseta Aerial Index,2018,NA,D.8,
Chinook,Taku River,Tseta Aerial Index,2019,NA,D.8,
